chr	Pos_hg19	Strand	Transcript	Gene	UsedSite	Expression_Average_(%)	Expression_Average_(read)	nbSamp	MES	SSF	bp_pos	bp_zsc	BPP_class	ss_dist	svm_scr	SVM_class	branchpoint_dist	branchpoint_prob	branchpoint_class	LB_pos	LB_score	LB_class	RNABPS_pos	RNABPS_score	RNABPS_class	Cum_class
chr16	70288387	-	NM_001605	AARS	1	0.34	1.08	46	9.09	80.5	19	7.81	Yes	6	1.8	Yes	18	0.79	Yes	-18	0.72	Yes	52	91.06	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr16	70292148	-	NM_001605	AARS	1	0.1	0.43	23	4.81	77.78	16	4.69	No	NA	NA	NA	29	0.66	Yes	-21	0.58	No	49	49.52	No	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr16	70296388	-	NM_001605	AARS	1	0.3	0.85	35	5.14	80.26	15	5.72	Yes	66	1.95	Yes	0	0	No	-20	0.61	No	50	39.74	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr16	70302281	-	NM_001605	AARS	1	0.16	0.51	27	-16.96	0	21	5.2	No	42	-1.74	No	0	0	No	-20	0.45	No	NA	NA	NA	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr16	70303738	-	NM_001605	AARS	1	0.05	0.21	10	8.78	88.25	20	6.84	Yes	7	2	Yes	0	0	No	-19	0.76	Yes	51	86.29	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr16	70304308	-	NM_001605	AARS	1	0.05	0.17	11	2.22	73.22	39	6.37	Yes	0	-0.89	No	0	0	No	-29	0.42	No	41	54.25	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr16	70305792	-	NM_001605	AARS	1	0.07	0.28	17	6.99	83.67	26	6.4	Yes	74	-5.84	No	0	0	No	-25	0.82	Yes	45	89.53	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr16	70311083	-	NM_001605	AARS	1	0.03	0.14	7	4.74	64.32	24	6.76	Yes	11	1.31	Yes	22	0.55	Yes	-23	0.72	Yes	47	74.09	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr16	70313557	-	NM_001605	AARS	1	0.13	0.57	30	2.11	0	43	7.68	Yes	30	1.47	Yes	0	0	No	-43	0.61	No	28	73.02	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr16	70319129	-	NM_001605	AARS	1	0.05	0.11	7	10.45	88.27	28	5.74	Yes	37	0.7	No	0	0	No	-27	0.91	Yes	43	94.53	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr6	44270942	-	NM_020745	AARS2	1	0.6	0.29	16	8.8	86.18	19	5.66	Yes	71	-1.15	No	26	0.94	Yes	-25	0.62	No	45	80.17	Yes	BPP: Yes, SVM: No, Branch: Yes, LB: No, RNABPS: Yes
chr6	44272085	-	NM_020745	AARS2	1	0.32	0.17	11	6.72	84.43	29	6.54	Yes	16	1.23	Yes	32	0.68	Yes	-28	0.84	Yes	42	89.12	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr6	44272252	-	NM_020745	AARS2	1	0.99	0.35	19	2.54	73.03	22	5.29	No	25	1.54	Yes	0	0	No	-21	0.75	Yes	49	70.29	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr6	44272255	-	NM_020745	AARS2	1	0.34	0.13	8	2.3	79.01	19	5	No	22	1.53	Yes	0	0	No	-34	0.51	No	52	71.96	Yes	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr6	44273787	-	NM_020745	AARS2	1	2.29	0.64	32	10.67	83.32	28	5.3	No	NA	NA	NA	0	0	No	-23	0.64	No	48	75.68	Yes	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: Yes
chr6	44274289	-	NM_020745	AARS2	1	1.39	0.79	32	6.21	78.71	13	6.71	Yes	0	0.82	Yes	21	0.91	Yes	-18	0.21	No	13	60.3	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr17	41107385	-	NM_001261434	AARSD1	1	2.01	1.58	51	8.79	88.12	25	6.24	Yes	12	0.78	Yes	24	0.86	Yes	-24	0.9	Yes	46	90.28	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr17	41108343	-	NM_001261434	AARSD1	1	0.18	0.14	7	-4.49	70.61	26	5.29	No	29	0.73	No	0	0	No	-25	0.9	Yes	45	84.37	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	41114290	-	NM_001261434	AARSD1	1	0.15	0.11	8	7.17	87.81	26	5.66	Yes	36	1.01	Yes	25	0.81	Yes	-25	0.54	No	22	35.57	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr17	41114313	-	NM_001261434	AARSD1	1	0.39	0.26	16	4.74	84.41	30	5.35	No	13	1.03	Yes	25	0.49	Yes	-25	0.29	No	45	40.87	No	BPP: No, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr4	57219678	-	NM_001323890	AASDH	1	2.02	0.42	21	4.62	69.01	37	5.81	Yes	10	0.66	No	0	0	No	-22	0.61	No	34	54.08	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr4	57247242	-	NM_001323890	AASDH	1	2	0.35	16	2.2	77.46	24	3.69	No	-4	0.25	No	0	0	No	-29	0.57	No	47	33.4	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr4	57249196	-	NM_001323890	AASDH	1	0.39	0.17	10	6.3	90.92	23	4.97	No	3	0.8	Yes	0	0	No	-27	0.46	No	43	51.07	No	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr11	105950896	+	NM_015423	AASDHPPT	1	0.1	0.19	11	11.37	78.32	26	5.39	No	28	0.93	Yes	0	0	No	-25	0.84	Yes	45	71.73	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr11	105963691	+	NM_015423	AASDHPPT	1	0.04	0.14	8	6.54	90.79	18	6.36	Yes	5	1.18	Yes	0	0	No	-22	0.5	No	48	57.51	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr17	35336455	+	NM_012138	AATF	1	0.18	0.39	22	4.54	83.68	33	7.79	Yes	20	2.04	Yes	0	0	No	-32	0.86	Yes	38	81.39	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	35351397	+	NM_012138	AATF	1	0.23	0.6	26	7.57	82.53	29	4.69	No	4	0.78	Yes	0	0	No	-28	0.68	Yes	47	75.15	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	35352558	+	NM_012138	AATF	1	0.17	0.46	17	8.5	88.34	43	5.7	Yes	21	0.93	Yes	0	0	No	-33	0.75	Yes	37	82.58	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	35354150	+	NM_012138	AATF	1	0.1	0.28	16	11.27	94.35	22	6.23	Yes	-1	1	Yes	0	0	No	-21	0.49	No	49	39.24	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr17	35378236	+	NM_012138	AATF	1	0.05	0.15	8	1.46	0	27	4.82	No	40	0.73	No	0	0	No	-29	0.37	No	44	63.66	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67260478	-	NM_172232	ABCA5	1	0.32	0.11	7	3.23	71.31	28	6.15	Yes	15	1	Yes	0	0	No	-28	0.56	No	42	77.02	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr17	67260935	-	NM_172232	ABCA5	1	1.14	0.28	15	5.99	80.72	40	7.46	Yes	27	1.22	Yes	0	0	No	-29	0.75	Yes	41	74.09	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67261016	-	NM_172232	ABCA5	1	6.13	1.49	49	7.61	84.58	22	4.32	No	41	0.5	No	0	0	No	-21	0.84	Yes	49	91.26	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	67261016	-	NM_172232	ABCA5	1	0.79	0.17	8	7.61	84.58	22	4.32	No	41	0.5	No	0	0	No	-21	0.84	Yes	49	91.26	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	67281562	-	NM_172232	ABCA5	1	10.29	4.81	69	9.09	84.85	27	4.71	No	8	0.93	Yes	26	0.89	Yes	-26	0.57	No	50	72.66	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: No, RNABPS: Yes
chr17	67284840	-	NM_172232	ABCA5	1	0.34	0.21	11	9.23	87.72	66	8.75	Yes	53	1.86	Yes	0	0	No	-59	0.68	Yes	11	67.07	No	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr17	67294159	-	NM_172232	ABCA5	1	0.45	0.14	9	9.06	93.53	21	5.45	No	12	1.59	Yes	0	0	No	-24	0.75	Yes	46	80.38	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67300176	-	NM_172232	ABCA5	1	0.5	0.31	17	2.38	0	48	11.41	Yes	52	1.35	Yes	0	0	No	-28	0.53	No	42	58.84	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr17	67306576	-	NM_172232	ABCA5	1	0.64	0.33	22	4.84	98.31	20	4.68	No	7	0.45	No	0	0	No	-23	0.86	Yes	47	91.17	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	67307168	-	NM_172232	ABCA5	1	2.75	1.78	52	6.53	86.16	20	7.14	Yes	7	1.22	Yes	0	0	No	-19	0.66	No	51	85.8	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr17	67309391	-	NM_172232	ABCA5	1	0.42	0.14	9	1.55	65.35	55	7.33	Yes	59	0.75	No	0	0	No	-33	0.54	No	37	66.39	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67313965	-	NM_172232	ABCA5	1	4.56	0.31	16	1.06	0	23	6.07	Yes	10	2.14	Yes	22	0.82	Yes	-22	0.76	Yes	48	87.91	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr17	67321953	-	NM_172232	ABCA5	1	2.95	0.1	7	-7.55	0	10	3.84	No	-2	-1.96	No	0	0	No	-41	0.39	No	29	53.75	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67321959	-	NM_172232	ABCA5	1	100.27	7.07	71	6.17	84.22	31	5.45	No	31	-1.46	No	24	0.61	Yes	-24	0.51	No	35	44.75	No	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr17	67075424	-	NM_080284	ABCA6	1	0.13	0.11	8	1.29	64.75	29	5.18	No	65	0.85	Yes	24	0.89	Yes	-21	0.36	No	49	44.66	No	BPP: No, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr17	67077316	-	NM_080284	ABCA6	1	0.31	0.33	20	5.22	74.13	29	7.84	Yes	16	1.95	Yes	24	0.85	Yes	-34	0.45	No	36	59.87	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr17	67079469	-	NM_080284	ABCA6	1	0.09	0.1	7	0.37	0	24	4.2	No	11	0.77	No	0	0	No	-39	0.6	No	31	69.2	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67080518	-	NM_080284	ABCA6	1	0.23	0.17	11	-4.93	0	14	3.54	No	65	-5.48	No	27	0.57	Yes	-14	0.56	No	61	34.62	No	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr17	67080644	-	NM_080284	ABCA6	1	1.98	0.83	38	0.91	0	36	6.09	Yes	71	1.83	Yes	0	0	No	-35	0.85	Yes	35	92.7	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67084362	-	NM_080284	ABCA6	1	1.56	1.13	42	7.91	81.92	29	5.72	Yes	30	0.89	Yes	0	0	No	-28	0.76	Yes	42	84.69	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67092208	-	NM_080284	ABCA6	1	0.19	0.17	11	0.49	76.04	21	4.84	No	0	0.73	No	0	0	No	-19	0.35	No	38	50.39	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67101640	-	NM_080284	ABCA6	1	1	0.58	27	3.98	77.77	42	7.79	Yes	55	-2.99	No	0	0	No	-42	0.43	No	28	40.86	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67102731	-	NM_080284	ABCA6	1	0.57	0.71	34	6.14	84.41	40	7.78	Yes	15	0.81	Yes	0	0	No	-26	0.35	No	44	36.74	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr17	67106034	-	NM_080284	ABCA6	1	0.9	0.81	39	12.49	96.68	17	3.96	No	4	1.06	Yes	0	0	No	-25	0.71	Yes	47	45.63	No	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr17	67106559	-	NM_080284	ABCA6	1	0.45	0.39	20	4.21	74.98	32	5.89	Yes	19	1.36	Yes	0	0	No	-31	0.89	Yes	39	94.75	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67107073	-	NM_080284	ABCA6	1	0.12	0.19	12	-0.34	0	18	4.21	No	22	1.1	Yes	0	0	No	-30	0.85	Yes	40	82.54	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67108411	-	NM_080284	ABCA6	1	1.26	0.72	34	0.47	0	44	7.54	Yes	74	1.44	Yes	0	0	No	-43	0.69	Yes	27	76.43	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67108411	-	NM_080284	ABCA6	1	0.66	0.33	18	0.47	0	44	7.54	Yes	74	1.44	Yes	0	0	No	-43	0.69	Yes	27	76.43	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr17	67109455	-	NM_080284	ABCA6	1	1.47	1.54	50	5.3	86.31	32	5.39	No	46	0.22	No	0	0	No	-26	0.53	No	44	43.34	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	67109489	-	NM_080284	ABCA6	1	0.52	0.61	29	5.48	81.7	22	4.69	No	67	0.51	No	0	0	No	-24	0.83	Yes	46	67.74	No	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: No
chr19	1041353	+	NM_019112	ABCA7	1	4	0.83	33	7.06	77.87	27	7.14	Yes	14	2.38	Yes	26	0.95	Yes	-26	0.86	Yes	44	89.5	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr19	1041514	+	NM_019112	ABCA7	1	0.89	0.25	12	-0.14	0	9	3.87	No	73	0.15	No	26	0.73	Yes	-32	0.59	No	38	76.24	Yes	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: Yes
chr19	1042284	+	NM_019112	ABCA7	1	0.88	0.28	15	4.8	74.69	13	4.25	No	6	0.42	No	25	0.64	Yes	-18	0.76	Yes	52	80.81	Yes	BPP: No, SVM: No, Branch: Yes, LB: Yes, RNABPS: Yes
chr19	1042318	+	NM_019112	ABCA7	1	2.8	0.92	39	-0.61	0	31	6.47	Yes	40	0.56	No	0	0	No	-25	0.58	No	40	61.28	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr19	1047210	+	NM_019112	ABCA7	1	0.6	0.1	7	6.29	85.23	31	5.77	Yes	64	1.41	Yes	0	0	No	-34	0.75	Yes	36	83.57	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr19	1049316	+	NM_019112	ABCA7	1	8.98	1.63	52	9.44	83.09	24	5.48	No	60	1.08	Yes	0	0	No	-23	0.87	Yes	47	83.1	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr19	1056416	+	NM_019112	ABCA7	1	10.54	1.83	59	9.49	85.69	13	6.33	Yes	0	1.83	Yes	0	0	No	-31	0.55	No	39	50.78	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr19	1057864	+	NM_019112	ABCA7	1	4.54	1.08	42	7.09	95.4	12	5.1	No	36	-2.28	No	0	0	No	-24	0.72	Yes	46	54.78	No	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: No
